 (-1.84442221+0.00000000j)  (0.00000104+0.00067188j)
 (-1.84142071+0.00000000j)  (0.00000104+0.00067102j)
 (-1.83841921+0.00000000j)  (0.00000103+0.00067017j)
 (-1.83541771+0.00000000j)  (0.00000103+0.00066931j)
 (-1.83241621+0.00000000j)  (0.00000103+0.00066845j)
 (-1.82941471+0.00000000j)  (0.00000102+0.00066759j)
 (-1.82641321+0.00000000j)  (0.00000102+0.00066673j)
 (-1.82341171+0.00000000j)  (0.00000102+0.00066588j)
 (-1.82041021+0.00000000j)  (0.00000102+0.00066502j)
 (-1.81740870+0.00000000j)  (0.00000101+0.00066416j)
 (-1.81440720+0.00000000j)  (0.00000101+0.00066330j)
 (-1.81140570+0.00000000j)  (0.00000101+0.00066244j)
 (-1.80840420+0.00000000j)  (0.00000101+0.00066157j)
 (-1.80540270+0.00000000j)  (0.00000100+0.00066071j)
 (-1.80240120+0.00000000j)  (0.00000100+0.00065985j)
 (-1.79939970+0.00000000j)  (0.00000100+0.00065899j)
 (-1.79639820+0.00000000j)  (0.00000100+0.00065813j)
 (-1.79339670+0.00000000j)  (0.00000100+0.00065727j)
 (-1.79039520+0.00000000j)  (0.00000099+0.00065640j)
 (-1.78739370+0.00000000j)  (0.00000099+0.00065554j)
 (-1.78439220+0.00000000j)  (0.00000099+0.00065467j)
 (-1.78139070+0.00000000j)  (0.00000098+0.00065381j)
 (-1.77838919+0.00000000j)  (0.00000098+0.00065294j)
 (-1.77538769+0.00000000j)  (0.00000098+0.00065207j)
 (-1.77238619+0.00000000j)  (0.00000098+0.00065121j)
 (-1.76938469+0.00000000j)  (0.00000098+0.00065034j)
 (-1.76638319+0.00000000j)  (0.00000097+0.00064948j)
 (-1.76338169+0.00000000j)  (0.00000097+0.00064861j)
 (-1.76038019+0.00000000j)  (0.00000097+0.00064774j)
 (-1.75737869+0.00000000j)  (0.00000097+0.00064687j)
 (-1.75437719+0.00000000j)  (0.00000096+0.00064600j)
 (-1.75137569+0.00000000j)  (0.00000096+0.00064513j)
 (-1.74837419+0.00000000j)  (0.00000096+0.00064426j)
 (-1.74537269+0.00000000j)  (0.00000096+0.00064339j)
 (-1.74237119+0.00000000j)  (0.00000095+0.00064252j)
 (-1.73936968+0.00000000j)  (0.00000095+0.00064164j)
 (-1.73636818+0.00000000j)  (0.00000095+0.00064077j)
 (-1.73336668+0.00000000j)  (0.00000095+0.00063990j)
 (-1.73036518+0.00000000j)  (0.00000095+0.00063902j)
 (-1.72736368+0.00000000j)  (0.00000094+0.00063815j)
 (-1.72436218+0.00000000j)  (0.00000094+0.00063727j)
 (-1.72136068+0.00000000j)  (0.00000094+0.00063639j)
 (-1.71835918+0.00000000j)  (0.00000094+0.00063551j)
 (-1.71535768+0.00000000j)  (0.00000094+0.00063464j)
 (-1.71235618+0.00000000j)  (0.00000094+0.00063376j)
 (-1.70935468+0.00000000j)  (0.00000094+0.00063288j)
 (-1.70635318+0.00000000j)  (0.00000095+0.00063200j)
 (-1.70335168+0.00000000j)  (0.00000095+0.00063112j)
 (-1.70035018+0.00000000j)  (0.00000096+0.00063024j)
 (-1.69734867+0.00000000j)  (0.00000097+0.00062936j)
 (-1.69434717+0.00000000j)  (0.00000098+0.00062849j)
 (-1.69134567+0.00000000j)  (0.00000098+0.00062762j)
